date,open,high,low,close,change_percent
1935-11-26,12.99,12.99,12.99,12.99,-1.44
1938-01-13,11.67,11.67,11.67,11.67,-1.44
1939-02-09,12.3,12.3,12.3,12.3,-1.44
1940-09-12,10.3,10.3,10.3,10.3,-1.44
1941-10-16,9.58,9.58,9.58,9.58,-1.44
1950-09-26,19.14,19.14,19.14,19.14,-1.44
1957-02-05,43.89,43.89,43.89,43.89,-1.44
1957-08-23,44.51,44.51,44.51,44.51,-1.44
1957-11-12,39.6,39.6,39.6,39.6,-1.44
1966-11-21,80.09,81.09,79.51,80.09,-1.44
1973-02-14,115.1,116.92,114.52,115.1,-1.44
1982-02-22,111.59,114.9,111.2,111.59,-1.44
1997-05-16,841.88,841.88,829.15,829.75,-1.44
1999-02-17,1241.87,1249.3101,1220.92,1224.03,-1.44
2001-07-10,1198.78,1203.4301,1179.9301,1181.52,-1.44
2003-01-15,931.66,932.59,916.7,918.22,-1.44
2008-01-02,1467.97,1471.77,1442.0699,1447.16,-1.44
2012-10-23,1433.74,1433.74,1407.5601,1413.11,-1.44
2015-12-03,2080.71,2085.0,2042.35,2049.6201,-1.44
2018-10-18,2802.0,2806.04,2755.1799,2768.78,-1.44
2022-12-06,3996.6299,4001.51,3918.3899,3941.26,-1.44
1931-08-05,13.64,13.64,13.64,13.64,-1.45
1942-01-21,8.81,8.81,8.81,8.81,-1.45
1945-11-21,17.02,17.02,17.02,17.02,-1.45
1948-01-13,14.95,14.95,14.95,14.95,-1.45
1951-11-07,22.49,22.49,22.49,22.49,-1.45
1959-02-09,53.58,53.58,53.58,53.58,-1.45
1962-05-11,62.65,64.1,62.44,62.65,-1.45
1962-09-21,57.69,58.64,57.43,57.69,-1.45
1973-11-05,105.52,106.97,104.87,105.52,-1.45
1974-08-19,74.57,75.65,73.78,74.57,-1.45
1975-08-19,84.95,86.47,84.66,84.95,-1.45
1980-02-14,116.72,119.3,116.04,116.72,-1.45
1981-09-17,117.15,119.87,116.63,117.15,-1.45
1987-08-18,334.1,334.11,326.43,329.25,-1.45
2000-09-18,1465.8101,1467.77,1441.92,1444.51,-1.45
2002-05-09,1088.85,1088.85,1072.23,1073.01,-1.45
2005-02-22,1201.59,1202.48,1184.16,1184.16,-1.45
2010-08-24,1063.2,1063.2,1046.6801,1051.87,-1.45
2017-08-10,2465.3799,2465.3799,2437.75,2438.21,-1.45
2022-12-22,3853.26,3853.26,3764.49,3822.3899,-1.45
2023-03-10,3912.77,3934.05,3846.3201,3861.5901,-1.45
1928-05-21,19.63,19.63,19.63,19.63,-1.46
1929-01-15,24.23,24.23,24.23,24.23,-1.46
1932-07-26,5.4,5.4,5.4,5.4,-1.46
1934-10-26,8.8,8.8,8.8,8.8,-1.46
1936-06-04,14.13,14.13,14.13,14.13,-1.46
1937-01-04,16.93,16.93,16.93,16.93,-1.46
1937-01-26,17.51,17.51,17.51,17.51,-1.46
1938-02-24,11.51,11.51,11.51,11.51,-1.46
1939-02-01,12.12,12.12,12.12,12.12,-1.46
1947-04-08,14.83,14.83,14.83,14.83,-1.46
1953-03-30,25.61,25.61,25.61,25.61,-1.46
1969-01-06,102.47,104.36,101.94,102.47,-1.46
1970-04-23,83.04,84.3,82.61,83.04,-1.46
1970-04-28,80.27,82.16,79.86,80.27,-1.46
1980-03-05,111.13,113.94,110.58,111.13,-1.46
1981-02-19,126.61,129.07,125.98,126.61,-1.46
1985-07-29,192.4,192.42,189.53,189.6,-1.46
1988-10-27,281.35,281.38,276.0,277.28,-1.46
1996-01-09,618.46,619.15,608.21,609.45,-1.46
2002-09-30,827.37,827.37,800.2,815.28,-1.46
2003-07-21,993.32,993.32,975.63,978.8,-1.46
2004-03-10,1140.58,1141.45,1122.53,1123.89,-1.46
2015-03-25,2093.1001,2097.4299,2061.05,2061.05,-1.46
2024-04-12,5171.5098,5175.0298,5107.9399,5123.4102,-1.46
1932-01-28,8.03,8.03,8.03,8.03,-1.47
1932-04-19,6.03,6.03,6.03,6.03,-1.47
1934-06-14,10.05,10.05,10.05,10.05,-1.47
1935-12-02,12.75,12.75,12.75,12.75,-1.47
1941-04-18,9.4,9.4,9.4,9.4,-1.47
1978-11-29,93.75,94.92,93.48,93.75,-1.47
1986-11-13,246.63,246.66,242.98,243.02,-1.47
1988-08-15,262.49,262.55,258.68,258.69,-1.47
1997-05-07,827.76,827.76,814.7,815.62,-1.47
2002-03-25,1148.7,1151.04,1131.87,1131.87,-1.47
2002-12-03,934.53,934.53,918.73,920.75,-1.47
2010-08-30,1062.9,1064.4,1048.79,1048.92,-1.47
2023-09-26,4312.8799,4313.0098,4265.98,4273.5298,-1.47
2023-12-20,4764.73,4778.0098,4697.8198,4698.3501,-1.47
1928-04-20,19.34,19.34,19.34,19.34,-1.48
1928-11-21,23.22,23.22,23.22,23.22,-1.48
1933-02-10,6.66,6.66,6.66,6.66,-1.48
1937-08-19,16.66,16.66,16.66,16.66,-1.48
1938-05-20,9.96,9.96,9.96,9.96,-1.48
1939-04-14,10.63,10.63,10.63,10.63,-1.48
1951-10-19,23.32,23.32,23.32,23.32,-1.48
1957-01-15,45.18,45.18,45.18,45.18,-1.48
1970-06-04,77.36,79.42,76.99,77.36,-1.48
1974-06-27,86.31,87.61,85.88,86.31,-1.48
1974-07-31,79.31,80.82,78.96,79.31,-1.48
1975-12-02,89.33,90.81,89.08,89.33,-1.48
1981-05-11,129.71,132.23,129.11,129.71,-1.48
1987-04-09,297.25,297.71,291.5,292.86,-1.48
1989-11-06,337.61,337.62,332.33,332.61,-1.48
1991-03-19,372.11,372.11,366.54,366.59,-1.48
1992-06-17,408.33,408.33,401.98,402.26,-1.48
1998-05-26,1110.47,1116.79,1094.01,1094.02,-1.48
1998-07-28,1147.27,1147.27,1119.4399,1130.24,-1.48
1998-08-28,1042.59,1051.8,1021.04,1027.14,-1.48
2000-02-25,1353.4301,1362.14,1329.15,1333.36,-1.48
2016-09-13,2150.47,2150.47,2120.27,2127.02,-1.48
2021-01-04,3764.6101,3769.99,3662.71,3700.6499,-1.48
